aiannh_ce,aiannh_ns,aiannh_name,area_type,states
5083,02414178,Kapolei Hawaiian Home Land,hawaiian_home_land,HI
5086,00360700,Kaumana Hawaiian Home Land,hawaiian_home_land,HI
5088,02634619,Kaupea Hawaiian Home Land,hawaiian_home_land,HI
5091,01853020,Kawaihae Hawaiian Home Land,hawaiian_home_land,HI
5098,02634620,Keahuolu Hawaiian Home Land,hawaiian_home_land,HI
5101,01853342,Kealakehe Hawaiian Home Land,hawaiian_home_land,HI
5104,00360975,Keanae-Wailua Hawaiian Home Land,hawaiian_home_land,HI
5106,01853343,Keaukaha Hawaiian Home Land,hawaiian_home_land,HI
5111,01853344,Kekaha Hawaiian Home Land,hawaiian_home_land,HI
5114,02634621,Keokea (Agricultural) Hawaiian Home Land,hawaiian_home_land,HI
5116,00361139,Keoniki Hawaiian Home Land,hawaiian_home_land,HI
5120,02634622,Kewalo Hawaiian Home Land,hawaiian_home_land,HI
5123,00360067,Kolaoa Hawaiian Home Land,hawaiian_home_land,HI
5133,02414179,Lalamilo Hawaiian Home Land,hawaiian_home_land,HI
5134,02634623,Lanai City Hawaiian Home Land,hawaiian_home_land,HI
5135,02634624,Leialii Hawaiian Home Land,hawaiian_home_land,HI
5136,00361918,Lualualei Hawaiian Home Land,hawaiian_home_land,HI
5138,02634625,Maili Hawaiian Home Land,hawaiian_home_land,HI
5139,02634626,Makaha Valley Hawaiian Home Land,hawaiian_home_land,HI
5146,00362126,Makuu Hawaiian Home Land,hawaiian_home_land,HI
5148,02634627,Maluohai Hawaiian Home Land,hawaiian_home_land,HI
5156,00362464,Moloaa Hawaiian Home Land,hawaiian_home_land,HI
5161,00362574,Nanakuli Hawaiian Home Land,hawaiian_home_land,HI
5166,00362640,Nienie Hawaiian Home Land,hawaiian_home_land,HI
5176,01853349,Panaewa (Agricultural) Hawaiian Home Land,hawaiian_home_land,HI
5177,01853352,Panaewa (Residential) Hawaiian Home Land,hawaiian_home_land,HI
5179,02634628,Papakolea Hawaiian Home Land,hawaiian_home_land,HI
5181,00363180,Pauahi Hawaiian Home Land,hawaiian_home_land,HI
5186,01853350,Paukukalo Hawaiian Home Land,hawaiian_home_land,HI
5188,02634629,Pearl City Hawaiian Home Land,hawaiian_home_land,HI
5193,02634630,Piihonua Hawaiian Home Land,hawaiian_home_land,HI
5196,02634631,Ponohawaii Hawaiian Home Land,hawaiian_home_land,HI
5198,02634632,Princess Kahanu Estates Hawaiian Home Land,hawaiian_home_land,HI
5199,02414182,Pulehunui Hawaiian Home Land,hawaiian_home_land,HI
5201,00364148,Puukapu Hawaiian Home Land,hawaiian_home_land,HI
5213,01853356,South Maui Hawaiian Home Land,hawaiian_home_land,HI
5216,01853355,Ualapue Hawaiian Home Land,hawaiian_home_land,HI
5222,02634633,Upolu Hawaiian Home Land,hawaiian_home_land,HI
5223,02634634,Waiahole Hawaiian Home Land,hawaiian_home_land,HI
5236,00364489,Waiakea Hawaiian Home Land,hawaiian_home_land,HI
5238,01853126,Waianae Hawaiian Home Land,hawaiian_home_land,HI
5239,02634648,Waianae Kai Hawaiian Home Land,hawaiian_home_land,HI
5241,00364587,Waiehu Hawaiian Home Land,hawaiian_home_land,HI
5248,02634649,Waiku-Hana Hawaiian Home Land,hawaiian_home_land,HI
5251,00364713,Wailau Hawaiian Home Land,hawaiian_home_land,HI
5256,00364740,Wailua Hawaiian Home Land,hawaiian_home_land,HI
5271,00364774,Waimanalo Hawaiian Home Land,hawaiian_home_land,HI
5276,00364785,Waimanu Hawaiian Home Land,hawaiian_home_land,HI
5281,02414262,Waimea Hawaiian Home Land,hawaiian_home_land,HI
5283,00364821,Waiohinu Hawaiian Home Land,hawaiian_home_land,HI
5286,01853042,Waiohuli (Residential) Hawaiian Home Land,hawaiian_home_land,HI
5540,01925075,Caddo-Wichita-Delaware OTSA,hawaiian_home_land,OK
5550,02418810,Cherokee OTSA,hawaiian_home_land,OK
5560,02418814,Cheyenne and Arapaho OTSA,hawaiian_home_land,OK
5580,02418818,Chickasaw OTSA,hawaiian_home_land,OK
5590,02418833,Choctaw OTSA,hawaiian_home_land,OK
5600,01925074,Citizen Potawatomi Nation-Absentee Shawnee OTSA,hawaiian_home_land,OK
5620,01925077,Creek OTSA,hawaiian_home_land,OK
5640,02418563,Eastern Shawnee OTSA,hawaiian_home_land,OK
5670,01925066,Iowa OTSA,hawaiian_home_land,OK
5690,01925070,Kaw OTSA,hawaiian_home_land,OK
5700,02418651,Kickapoo OTSA,hawaiian_home_land,OK
5720,02418654,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,hawaiian_home_land,OK
5730,02418711,Miami OTSA,hawaiian_home_land,OK
5740,02418715,Modoc OTSA,hawaiian_home_land,OK
5760,01925068,Otoe-Missouria OTSA,hawaiian_home_land,OK
5770,02419159,Ottawa OTSA,hawaiian_home_land,OK
5780,01925076,Pawnee OTSA,hawaiian_home_land,OK
5795,02419165,Peoria OTSA,hawaiian_home_land,OK
5800,02419180,Ponca OTSA,hawaiian_home_land,OK
5810,02419193,Quapaw OTSA,hawaiian_home_land,OK
5820,01925067,Sac and Fox OTSA,hawaiian_home_land,OK
5830,01925073,Seminole OTSA,hawaiian_home_land,OK
5835,02419214,Seneca-Cayuga OTSA,hawaiian_home_land,OK
